3,"ARL","United States of America Virginia Arlington","22214","United States of America Virginia Washington"
0,"ARL","United States of America Virginia Arlington","26452","United States of America Virginia Arlington"
4,"ARU","Brazil  ARACATUBA","7030","Brazil  Itaituba"
3,"ARX","Brazil  ARAXA","4837","Brazil  Barra"
3,"ARX","Brazil  ARAXA","5071","Brazil  Carajas"
4,"ARX","Brazil  ARAXA","6190","Brazil  Una"
4,"ARX","Brazil  ARAXA","6577","Brazil  Arapoti"
3,"ARX","Brazil  ARAXA","6579","Brazil  Arraias"
4,"ARX","Brazil  ARAXA","6705","Brazil  Aripuana"
4,"ARX","Brazil  ARAXA","7077","Brazil  Juina"
3,"ARX","Brazil  ARAXA","7111","Brazil  Juara"
4,"ARX","Brazil  ARAXA","7419","Brazil  Matupa"
4,"ARX","Brazil  ARAXA","59039","Brazil  Iriri"
4,"ARX","Brazil  ARAXA","78488","Brazil  COARI"
4,"ARX","Brazil  ARAXA","78491","Brazil  PARNAIBA"
0,"ASE","United States of America Colorado Aspen","4153","United States of America Colorado Aspen"
4,"ATI","Brazil  Atibaia","6579","Brazil  Arraias"
4,"ATI","Brazil  Atibaia","6705","Brazil  Aripuana"
4,"ATL","United States of America Georgia Atlanta","3280","United States of America Georgia Augusta"
4,"ATL","United States of America Georgia Atlanta","25662","United States of America Georgia Albany"
4,"ATL","United States of America Georgia Atlanta","26023","United States of America Georgia Augusta"
4,"ATL","United States of America Georgia Atlanta","26970","United States of America Georgia Sylvania"
4,"ATL","United States of America Georgia Atlanta","27025","United States of America Georgia Athens"
0,"ATL","United States of America Georgia Atlanta","27072","United States of America Georgia Atlanta"
0,"ATS","United States of America California Atascadero","29069","United States of America California Atascadero"
0,"AUE","United States of America Maine Auburn","26392","United States of America Maine Auburn"
4,"AUG","United States of America Maine Augusta","26392","United States of America Maine Auburn"
0,"AUG","United States of America Maine Augusta","27083","United States of America Maine Augusta"
4,"AUL","United States of America Hawaii Aulani","1863","United States of America Hawaii Kahului"
4,"AUL","United States of America Hawaii Aulani","3789","United States of America Hawaii Maui"
3,"AUL","United States of America Hawaii Aulani","3791","United States of America Hawaii Kauai"
4,"AUL","United States of America Hawaii Aulani","3811","United States of America Hawaii Hawaii"
4,"AUL","United States of America Hawaii Aulani","64239","United States of America Hawaii Hawi"
3,"AUL","United States of America Hawaii Aulani","64324","United States of America Hawaii Kula"
4,"AUL","United States of America Hawaii Aulani","77685","United States of America Hawaii Kalaoa"
3,"AUS","United States of America Texas Austin","19781","United States of America Texas Dublin"
4,"AUS","United States of America Texas Austin","19996","United States of America Texas Allen"
4,"AUS","United States of America Texas Austin","20098","United States of America Texas Denton"
4,"AUS","United States of America Texas Austin","20294","United States of America Texas Collin"
4,"AUS","United States of America Texas Austin","22152","United States of America Texas Kaufman"
0,"AUS","United States of America Texas Austin","25526","United States of America Texas Austin"
4,"AVE","United States of America Florida Miami","1399","United States of America Florida Tampa"
4,"AVE","United States of America Florida Miami","20092","United States of America Florida Davie"
4,"AVE","United States of America Florida Miami","20373","United States of America Florida Lake"
4,"AVE","United States of America Florida Miami","20417","United States of America Florida Martin"
4,"AVE","United States of America Florida Miami","20426","United States of America Florida Marion"
0,"AVE","United States of America Florida Miami","25773","United States of America Florida Miami"
0,"AVL","United States of America North Carolina Asheville","4462","United States of America North Carolina Asheville"
4,"AVN","United States of America Colorado Avon","4024","United States of America Colorado Vail"
3,"AVN","United States of America Colorado Avon","4153","United States of America Colorado Aspen"
4,"AVN","United States of America Colorado Avon","5227","United States of America Colorado Eagle"
4,"AVN","United States of America Colorado Avon","20348","United States of America Colorado Lamar"
4,"AVN","United States of America Colorado Avon","20703","United States of America Colorado Adams"
4,"AVN","United States of America Colorado Avon","20704","United States of America Colorado Adams"
4,"AVN","United States of America Colorado Avon","25494","United States of America Colorado Dillon"
4,"AVN","United States of America Colorado Avon","25947","United States of America Colorado Harmony"
4,"AVN","United States of America Colorado Avon","26729","United States of America Colorado Aurora"
0,"AVN","United States of America Colorado Avon","26888","United States of America Colorado Avon"
4,"AZS","Dominican Republic  Samana","4857","Dominican Republic  Barahona"
4,"AZS","Dominican Republic  Samana","7365","Dominican Republic  La Romana"
0,"AZS","Dominican Republic  Samana","10266","Dominican Republic  Samana"
0,"BAH","Dominican Republic  Barahona","4857","Dominican Republic  Barahona"
3,"BAL","United States of America Florida Bal Harbour","29000","United States of America Florida Palm Harbor"
0,"BAL","United States of America Florida Bal Harbour","62233","United States of America Florida Bal Harbour"
0,"BAQ","Colombia  Barranquilla","4517","Colombia  Barranquilla"
4,"BAR","United States of America California Barstow","4675","United States of America California Bishop"
4,"BAR","United States of America California Barstow","25605","United States of America California Jamestown"
0,"BAR","United States of America California Barstow","25689","United States of America California Barstow"
0,"BCC","Dominican Republic  Boca Chica","10264","Dominican Republic  Boca Chica"
0,"BCN","United States of America Utah Bryce Canyon","26184","United States of America Utah Bryce Canyon"
0,"BDF","United States of America Maine Biddeford","42784","United States of America Maine Biddeford"
4,"BEA","United States of America Utah Beaver","20097","United States of America Utah Davis"
3,"BEA","United States of America Utah Beaver","20559","United States of America Utah Sevier"
4,"BEA","United States of America Utah Beaver","22203","United States of America Utah Kane"
4,"BEA","United States of America Utah Beaver","29568","United States of America Utah Wendover"
0,"BEA","United States of America Utah Beaver","42755","United States of America Utah Beaver"
4,"BEL","Brazil  Belem","4837","Brazil  Barra"
4,"BEL","Brazil  Belem","4873","Brazil  Balsas"
3,"BEL","Brazil  Belem","4932","Brazil  Breves"
4,"BEL","Brazil  Belem","61769","Brazil  Lages"
4,"BEN","United States of America Oregon Bend","3896","United States of America Oregon Eugene"
3,"BEN","United States of America Oregon Bend","4592","United States of America Oregon Bandon"
3,"BEN","United States of America Oregon Bend","4785","United States of America Oregon Burns"
3,"BEN","United States of America Oregon Bend","20043","United States of America Oregon Benton"
4,"BEN","United States of America Oregon Bend","26021","United States of America Oregon Canby"
3,"BEN","United States of America Oregon Bend","26507","United States of America Oregon Sandy"
4,"BEN","United States of America Oregon Bend","26932","United States of America Oregon Albany"
4,"BEN","United States of America Oregon Bend","27096","United States of America Oregon Redmond"
0,"BEN","United States of America Oregon Bend","28960","United States of America Oregon Bend"
0,"BFL","United States of America California Bakersfield","4023","United States of America California Bakersfield"
0,"BGR","United States of America Maine Bangor","3328","United States of America Maine Bangor"
0,"BHA","United States of America Alabama Birmingham","25830","United States of America Alabama Birmingham"
0,"BHB","United States of America Maine Bar Harbor","4650","United States of America Maine Bar Harbor"
0,"BIG","United States of America California Big Bear Lake","26361","United States of America California Big Bear Lake"
0,"BIH","United States of America California Bishop","4675","United States of America California Bishop"
4,"BIL","United States of America  Billings","4726","United States of America  Brookings"
4,"BIL","United States of America  Billings","4803","United States of America  Brookings"
4,"BIL","United States of America  Billings","9751","United States of America  Irving"
4,"BIL","United States of America  Billings","20078","United States of America  Bullitt"
4,"BIL","United States of America  Billings","20247","United States of America  Kings"
4,"BIL","United States of America  Billings","20293","United States of America  Collin"
4,"BIL","United States of America  Billings","20390","United States of America  Licking"
0,"BIM","Bahamas  Bimini","4679","Bahamas  Bimini"
0,"BIS","United States of America North Dakota Bismarck","4683","United States of America North Dakota Bismarck"
0,"BIX","United States of America Mississippi Biloxi","4688","United States of America Mississippi Biloxi"
0,"BKF","United States of America Colorado Aurora","26729","United States of America Colorado Aurora"
0,"BKG","United States of America Missouri Branson","19768","United States of America Missouri Branson"
0,"BLC","United States of America Massachusetts Billerica","26868","United States of America Massachusetts Billerica"
4,"BLF","United States of America Utah Bluff","20384","United States of America Utah Lehi"
4,"BLF","United States of America Utah Bluff","42685","United States of America Utah Alta"
4,"BLF","United States of America Utah Bluff","44002","United States of America Utah Loa"
0,"BLF","United States of America Utah Bluff","63976","United States of America Utah Bluff"
0,"BLH","United States of America California Blythe","4736","United States of America California Blythe"
4,"BLM","United States of America California Belmont","25442","United States of America California Buellton"
4,"BLM","United States of America California Belmont","25587","United States of America California Colton"
4,"BLM","United States of America California Belmont","25735","United States of America California Ramona"
3,"BLM","United States of America California Belmont","26134","United States of America California El Monte"
4,"BLM","United States of America California Belmont","26185","United States of America California Hemet"
4,"BLM","United States of America California Belmont","26254","United States of America California Pomona"
3,"BLM","United States of America California Belmont","26377","United States of America California Fremont"
2,"BLM","United States of America California Belmont","26479","United States of America California Beaumont"
0,"BLM","United States of America California Belmont","26546","United States of America California Belmont"
4,"BLN","United States of America Utah Blanding","4579","United States of America  Blanding"
0,"BLN","United States of America Utah Blanding","29556","United States of America Utah Blanding"
4,"BLT","United States of America Maine Belfast","29305","United States of America Maine Wells"
0,"BLT","United States of America Maine Belfast","42759","United States of America Maine Belfast"
0,"BNA","United States of America Tennessee Nashville","3228","United States of America Tennessee Nashville"
0,"BNG","United States of America California Banning","4779","United States of America California Banning"
0,"BOC","United States of America Florida Boca Raton","4567","United States of America Florida Boca Raton"
4,"BOG","Colombia  Bogota","5165","Colombia  Corozal"
4,"BOG","Colombia  Bogota","5526","Colombia  Otu"
4,"BOG","Colombia  Bogota","62918","Colombia  OCANA"
4,"BOG","Colombia  Bogota","75041","Colombia  Toca"
0,"BOI","United States of America Idaho Boise","1781","United States of America Idaho Boise"
