0,"BVU","United States of America Washington Bellevue","26819","United States of America Washington Bellevue"
0,"BWI","United States of America Maryland Baltimore","1460","United States of America Maryland Baltimore"
0,"BZC","Brazil  Buzios","3426","Brazil  Buzios"
0,"BZN","United States of America Montana Bozeman","4022","United States of America Montana Bozeman"
0,"BZV","United States of America Missouri Branson West","42820","United States of America Missouri Branson West"
0,"CAB","Dominican Republic  Cabarete","10265","Dominican Republic  Cabarete"
0,"CAC","Brazil  Cascavel","7503","Brazil  Cascavel"
0,"CAE","United States of America South Carolina Columbia","1426","United States of America South Carolina Columbia"
0,"CAM","United States of America California Cambria","26449","United States of America California Cambria"
0,"CCD","United States of America Utah Cedar City","5031","United States of America Utah Cedar City"
0,"CEZ","United States of America Colorado Cortez","29148","United States of America Colorado Cortez"
0,"CGB","United States of America Florida Coral Gables","61049","United States of America Florida Coral Gables"
0,"CHA","United States of America Tennessee Chattanooga","3356","United States of America Tennessee Chattanooga"
0,"CHD","United States of America Arizona Chandler","19895","United States of America Arizona Chandler"
0,"CHI","United States of America Illinois Chicago","549","United States of America Illinois Chicago"
0,"CHM","United States of America Massachusetts Chatham","20084","United States of America Massachusetts Chatham"
0,"CHS","United States of America South Carolina Charleston","4188","United States of America South Carolina Charleston"
0,"CID","United States of America Iowa Cedar Rapids","28754","United States of America Iowa Cedar Rapids"
0,"CLD","United States of America California Carlsbad","26334","United States of America California Carlsbad"
0,"CLE","United States of America Ohio Cleveland","1185","United States of America Ohio Cleveland"
0,"CLL","United States of America Georgia College Park","26849","United States of America Georgia College Park"
0,"CLM","United States of America Washington Port Angeles","5075","United States of America Washington Port Angeles"
0,"CLP","United States of America Maryland College Park","26660","United States of America Maryland College Park"
0,"CLR","United States of America Florida Clearwater","1871","United States of America Florida Clearwater"
0,"CLS","United States of America California Santa Clara","19902","United States of America California Santa Clara"
0,"CLT","United States of America North Carolina Charlotte","26852","United States of America North Carolina Charlotte"
0,"CMD","United States of America California Corte Madera","26207","United States of America California Corte Madera"
0,"CMH","United States of America Ohio Columbus","26851","United States of America Ohio Columbus"
0,"CNJ","Canada Ontario Fort Erie","35575","Canada Ontario Fort Erie"
0,"CNO","United States of America California Chino Hills","27022","United States of America California Chino Hills"
0,"CNT","United States of America Maryland Clinton","29212","United States of America Maryland Clinton"
0,"COC","United States of America Florida Cocoa Beach","9494","United States of America Florida Cocoa Beach"
0,"COD","United States of America Wyoming Cody","5097","United States of America Wyoming Cody"
0,"COS","United States of America Colorado Colorado Springs","25870","United States of America Colorado Colorado Springs"
0,"CPR","United States of America Wyoming Casper","5106","United States of America Wyoming Casper"
0,"CRF","United States of America Arizona Carefree","25944","United States of America Arizona Carefree"
0,"CRP","United States of America Texas Corpus Christi","5114","United States of America Texas Corpus Christi"
0,"CRS","United States of America California Crescent City","5034","United States of America California Crescent City"
